Coder,Asset_Name,Brand,Lead_Country,Year_Produced,Year_Aired,Segment,Agency,Character_Name,Character_Description,Q1_Prominence,Q2_Age,Q2a_Age_SpecifyOther,Q3_Sex,Q4_Gender,Q5_LGBTQ,Q6_Animated,Q6a_Animated_OtherSpecify,Q7_Race_Ethnicity,Q7a_RE_OtherSpecify,Q8_Disability,Q9a_Shopping,Q9b_Driving,Q9c_Cleaning,Q9d_Cooking,Q9e_Working,Q9f_Socializing,Q9g_Nothing,Q9h_Eating/Drinking,Q9i_Exercising,Q9j_Activity Other,Q9j_Activity_Other_Specify,Q10a_Kitchen,Q10b_Office,Q10c_Car,Q10d_Store,Q10e_Outdoors,Q10f_Living Room,Q10g_Restaurant_Bar,Q10h_Gym,Q10i_Bedroom,Q10j_Bathroom,Q10k_Sporting_Event,Q10l_Classroom,Q10m_Location_Other,Q10m_Location_Other_Specify,Q11_Revealing_Clothing,Q12_Nudity,Q12a_Nudity_Other_Specify,Q13_Visually_Objectified,Q14_Verbally_Objectified,Q15_Intelligence,Q16_Humor,Q17_Occupation,Q18_Leader,Q19_Authority,Q20_Body Type,Q20a_Body_Type_Other_Specify,Q21a_Disordered_Eating,Q21b_Selfy_injury,Q21c_NegativeTalk,Q21d_Body_Modification,Q22a_Visual_Shame,Q22b_Verbal_Shame,Q22c_Sizeist_Slurs,Q22d_Punchline,Q22e_Denied_Personal_Opportunity,Q22f_Denied_Professional_Opportunity,Q22g_Other_Prejudice,Q22g_Prejudice_Other_Specify,Q23a_Lazy,Q23b_Physically_Slow,Q23c_Stupid,Q23d_Loser,Q23e_Inactive,Q23f_Poorly_Dressed,Q23g_Funny,Q23h_Jolly,Q23i_Clumsy,Q23j_Alone,Q24a_Comic_Relief,Q24b_Sidekick,Q24c_Mamma_Hen,Q24d_Nympho,Q25_Fat_to_Fit,Q26_Inspo_Porn,Q27_NOTES,Notes on Dwelling
Emma,Airwaves 2020 Intense Mint launch campaign video,Airwaves       ,NORTH ASIA,2020,2020,Confectionary,DDB,Man,at party,2,5,,2,10,0,0,,5,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,BOOMER BICEP,BOOMER,India,2020,2020,Confectionary,DDB,Boomer Man,"Shirtless, dark hair, chewing gum",2,4,,2,10,0,0,,5,,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,1,,1,0,0,2,0,0,0,6,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CEspinoza,BOOMER RAMAYAN,BOOMER,India,2020,2020,Confectionary,DDB,Older man watching TV,Older man watching TV,2,8,,2,10,0,0,,5,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,9,2,9,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CEspinoza,BOOMER RAMAYAN,BOOMER,India,2020,2020,Confectionary,DDB,Boy watching TV,Boy watching TV,2,2,,2,10,10,0,,5,,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,,0,0,9,2,10,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,BOOMER FISH BOWL,BOOMER,India,2020,2020,Confectionary,DDB,girl,sad,2,2,,1,10,10,0,,5,,0,0,0,0,0,0,0,0,0,0,1,watching their dead fish,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,,0,0,0,0,10,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,BOOMER FISH BOWL,BOOMER,India,2020,2020,Confectionary,DDB,boy,blowing gum,2,1,,2,10,10,0,,5,,0,0,0,0,0,0,0,0,0,0,1,watching their dead fish,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,,0,0,0,2,10,0,0,2,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Could be apartment or house; books stacked on floor vs. bookshelf
Pamela,Leaves,Cesar,United States,2020,2020,Petcare,BBDO,Raking Man,"Light brown hair, mustache, brown vest",2,6,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,Raking yard,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,0,4,,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,,"""Dwelling""=corrections facility (incarcerated man)"
CEspinoza,Birthday,Cesar,United States,2020,2020,Petcare,BBDO,Man's friend,Man's friend,2,6,,2,10,1,0,,1,,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,0,4,,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"""Dwelling""=corrections facility (incarcerated man)"
Melanie,Match (:20),Cesar,United Kingdom,2020,2020,Petcare,BBDO,Partner,wider face,2,5,,2,10,1,0,,1,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,4,,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Romeo,Washboard,Cesar,United States,2020,2020,Petcare,BBDO,Woman Working,woman washing clothes and owner of Alfie,1,5,,1,10,0,0,,1,,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,3,1,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,"""Dwelling""=corrections facility (incarcerated man)"
Melanie,Match (:20),Cesar,United Kingdom,2020,2020,Petcare,BBDO,Waiter,dark beard,1,5,,2,10,0,0,,1,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,1,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,"""Dwelling""=corrections facility (incarcerated man)"
Sarah,Cloudy City and Rural - Sunday V1,Cesar,United States,2020,2020,Petcare,BBDO,Yogi,blue short sleeve t shirt,2,4,,1,10,0,0,,9,,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,9,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,"""Dwelling""=corrections facility (incarcerated man)"
Romeo,Washboard,Cesar,United States,2020,2020,Petcare,BBDO,Jack,child ringing clothes to dry them,2,1,,2,10,10,0,,1,,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,,0,0,0,2,10,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Catch,Cesar,United States,2020,2020,Petcare,BBDO,Son,Wearing helmet,2,1,,2,10,10,0,,3,,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,10,,0,0,0,2,10,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,"""Dwelling""=corrections facility (incarcerated man)"
Pamela,Sunny City and Rural - Sunday V8,Cesar,United States,2020,2020,Petcare,BBDO,Man petting dog,"Dark hair, wearing dark shirt and shorts",2,4,,2,10,0,0,,5,,0,0,0,0,0,0,0,0,0,0,1,Petting dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Sunny City and Rural - Sunday V4,Cesar,United States,2020,2020,Petcare,BBDO,Man throwing frisbee,"Wearing gray shirt and shorts, bald",2,4,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,1,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Sunny Beach - Sunday V1,Cesar,United States,2020,2020,Petcare,BBDO,Running Person,"Wearing hoodie and shorts, running on bech",2,4,,9,10,0,0,,9,,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,1,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Fire,Cesar,United States,2020,2020,Petcare,BBDO,Dog Owner,"Red shirt, blue jeans, gray hair",2,7,,2,10,0,0,,3,,0,0,0,0,0,0,0,0,0,0,1,Feeding dog,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Fire,Cesar,United States,2020,2020,Petcare,BBDO,Freezing Man,"Wearing brown coat, brown hat, black gloves",1,8,,2,10,0,0,,1,,0,0,0,0,0,0,0,1,0,0,1,Throwing stick in fire,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Didn't code Bowling as exercise, even though its a sport, its hard to count it as exercise.",
Emma,Boat,Cesar,United States,2020,2020,Petcare,BBDO,Left Son,,2,3,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,riding in boat,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class/lower middle class living room; unable to tell dwelling type
Emma,Boat,Cesar,United States,2020,2020,Petcare,BBDO,Right Son,,2,3,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,riding in boat,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class living room; unable to tell dwelling type
Emma,Boat,Cesar,United States,2020,2020,Petcare,BBDO,Mom,,2,6,,1,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,driving boat,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,3,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class single-family home
Emma,Boat,Cesar,United States,2020,2020,Petcare,BBDO,Dad,,2,6,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,riding in boat,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class single-family home
CEspinoza,Birthday,Cesar,United States,2020,2020,Petcare,BBDO,Man with birthday hat,Man with birthday hat,2,6,,2,10,1,0,,1,,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,2,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Fire,Cesar,United States,2020,2020,Petcare,BBDO,Man wearing brown,"Gray hair, brown and black checkered shirt, brown pants",1,8,,2,10,0,0,,3,,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,3,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Catch,Cesar,United States,2020,2020,Petcare,BBDO,Dad,Throws football,1,6,,2,10,0,0,,3,,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,3,0,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Washboard,Cesar,United States,2020,2020,Petcare,BBDO,Older Man,older man walking into living room,1,8,,2,10,0,0,,1,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,3,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Sunny City and Rural - Sunday V9,Cesar,United States,2020,2020,Petcare,BBDO,Man,glasses,2,3,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,sitting with dog,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Sunny City and Rural - Sunday V7,Cesar,United States,2020,2020,Petcare,BBDO,Dog Owner,outside with dog,2,4,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class single-family home
Melanie,Sunny City and Rural - Sunday V5,Cesar,United States,2020,2020,Petcare,BBDO,Man,brown hair,2,4,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class; likely single-family home but could be apartment
CEspinoza,"Cloudy and Rainy City and Rural - Wednesday, Saturday and Sunday",Cesar,United States,2020,2020,Petcare,BBDO,Man with dog,Man with dog,2,4,,2,10,0,0,,6,,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class; likely single-family home but could be apartment
Emma,Sunny City and Rural - Sunday V3,Cesar,United States,2020,2020,Petcare,BBDO,Dog Owner,On blanket with dog,2,5,,2,10,0,0,,2,,0,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Washboard,Cesar,United States,2020,2020,Petcare,BBDO,Owner,female on couch feeding Spencer (dog),2,5,,1,10,0,0,,1,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Match (:20),Cesar,United Kingdom,2020,2020,Petcare,BBDO,Birthday Boy,light features,2,5,,2,10,1,0,,1,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Sunny City - Sunday V2,Cesar,United States,2020,2020,Petcare,BBDO,Dog Owner,Woman running,2,5,,1,10,0,0,,1,,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Sunny City and Rural - Sunday V6,Cesar,United States,2020,2020,Petcare,BBDO,Man with dog,Purple t-shirt,2,5,,2,10,0,0,,1,,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Cloudy City and Rural - Wednesday and Saturday,Cesar,United States,2020,2020,Petcare,BBDO,Father,On couch,2,6,,2,10,0,0,,1,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,2,3,,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
