Coder,AssetName,Brand,LeadCountry,Yearproduced,yearAired,Segment,CharacterName,CharacterDescription,Q1.PROMINENCE,Q2.AGE,Q2a.AgeOtherSpecify,Q3.SEX,Q4.GENDER,Q5.LGBTQ,Q6.ANIMATED,Q6a.AnimatedOtherSpecify,Q7.RACEETHNICITY,Q7a.RaceEthnicityOtherSpecify,Q8.PHYSICALDISABILITY,Q9.COGNITIVEDISABILITY,Q10.COMMUNICATIONDISABILITY,Q11a.SHOPPING,Q11b.DRIVING,Q11c.CLEANING,Q11d.COOKING,Q11e.WORKING,Q11f.SOCIALIZING,Q11g.NOTHING,Q11h.EATINGDRINKING,Q11i.EXERCISING,Q11j.ACTIVITYOTHER,Q11j.ActivityOtherSpecify,Q12a.KITCHEN,Q12b.OFFICE,Q12c.CAR,Q12d.STORE,Q12e.OUTDOORS,Q12f.LIVINGROOM,Q12g.RESTAURANTBAR,Q12h.GYM,Q12i.BEDROOM,Q12j.BATHROOM,Q12k.SPORTINGEVENT,Q12l.CLASSROOM,Q12m.LOCATIONOTHER,Q12m.LocationOtherSpecify,Q13.REVEALINGCLOTHING,Q14.NUDITY,Q14a.NudityOtherSpecify,Q15.VISUALLYOBJECTIFIED,Q16.VERBALLYOBJECTIFIED,Q17.INTELLIGENCE,Q18.HUMOR,Q19.OCCUPATION,Q20.LEADER,Q21.AUTHORITY,Q22.BODYTYPE,Q22a.BodyTypeOtherSpecify,Q23a.DISORDEREDEATING,Q23b.SELFINJURY,Q23c.NEGATIVETALK,Q23d.BODYMODIFICATION,Q24a.VISUALSHAME,Q24b.VERBALSHAME,Q24c.SIZEISTSLURS,Q24d.PUNCHLINE,Q24e.DENIEDPERSONALOPPORTUNITIES,Q24f.DENIEDPROFESSIONALOPPORTUNITIES,Q24g.OTHERPREJUDICE,Q24g.PrejudiceOtherSpecify,Q25a.LAZY,Q25b.PHYSICALLYSLOW,Q25c.STUPID,Q25d.LOSER,Q25e.INACTIVE,Q25f.POORLYDRESSED,Q25g.FUNNY,Q25h.JOLLY,Q25i.CLUMSY,Q25j.ALONE,Q26a.COMICRELIEF,Q26b.SIDEKICK,Q26c.MAMMAHEN,Q26d.NYMPHO,Q27.FATTOFIT,Q28.INSPOPORN
Soraya,Ball Bag,M&M's,France,2018,2018,Confectionary,red m&m, ,1,5, ,2,2,0,5,candy,10, ,0,0,0,0,0,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,0, ,0,0,3,3,0,0,0,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Soraya,Casting Aquaman,M&M's,France,2018,2018,Confectionary,red m&m, ,1,5, ,2,2,0,5,candy,10, ,0,0,0,0,0,0,0,1,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1,studio,0,0, ,0,0,3,2,1,0,0,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Soraya,Casting Mission Impossible,M&M's,France,2018,2018,Confectionary,red m&m, ,1,5, ,2,2,0,5,candy,10, ,0,0,0,0,0,0,0,1,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1,studio,0,0, ,0,0,3,3,1,1,0,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Soraya,Casting Mission Impossible,M&M's,France,2018,2018,Confectionary,yellow m&m, ,1,5, ,2,2,0,5,candy,10, ,0,0,0,0,0,0,0,1,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1,studio,0,0, ,0,0,3,3,1,0,0,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Soraya,Header,M&M's,France,2018,2018,Confectionary,red m&m, ,1,5, ,2,2,0,5,candy,10, ,0,0,0,0,0,0,0,0,1,0,0,1,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1,blank,0,0, ,0,0,0,3,0,0,0,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Soraya,Header,M&M's,France,2018,2018,Confectionary,yellow m&m, ,1,5, ,2,2,0,5,candy,10, ,0,0,0,0,0,0,0,0,1,0,0,1,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1,blank,0,0, ,0,0,0,3,0,0,0,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Soraya,Penalty,M&M's,France,2018,2018,Confectionary,red m&m, ,1,5, ,2,2,0,5,candy,10, ,0,0,0,0,0,0,0,0,0,0,0,0,1,playing sport,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,0, ,0,0,0,0,0,0,0,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Soraya,Penalty,M&M's,France,2018,2018,Confectionary,yellow m&m, ,1,5, ,2,2,0,5,candy,10, ,0,0,0,0,0,0,0,0,0,0,0,0,1,playing sport,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,0, ,0,0,0,2,0,0,0,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Soraya,Shiver,M&M's,France,2018,2018,Confectionary,yellow m&m, ,1,5, ,2,2,0,5,candy,10, ,0,0,0,0,0,0,0,0,1,0,0,0,0, ,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Soraya,Shiver,M&M's,France,2018,2018,Confectionary,red m&m, ,1,5, ,2,2,0,5,candy,10, ,0,0,0,0,0,0,0,0,1,0,0,0,0, ,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0, ,0,0,0,3,0,0,0,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
