Coder,Asset_Name,Brand,Lead_Country,Year_Produced,Year_Aired,Segment,Agency,Character_Name,Character_Description,Prominence,Animated,Animated Specify,Gender,Trans,Race,Race Other/Specify,API,Skin tone,Sexual Orientation,Queer,Age,Disabled,Disability Specify,Body Type,Shopping,Driving,Cleaning,Cooking,Working,Socializing,Nothing,EatingDrinking,Exercising,Other Activity,Activity Other Specify,Kitchen,Office,Car,Store,Outdoors,Living Room,Restaurant/Bar,Gym,Bedroom,Bathroom,Sporting Event,Classroom,Setting Other,Other Setting Specify,Revealing Clothing,Nudity,Visually Objectified,Verbally Objectified,Intelligent,Funny,Occupation,Leader,Authority,Q27a_Disordered_Eating,Q27b_Selfy_injury,Q27c_NegativeTalk,Q27d_Body_Modification,Q28a_Visual_Shame,Q28b_Verbal_Shame,Q28c_Sizeist_Slurs,Q28d_Punchline,Q28e_Denied_Personal_Opportunity,Q28f_Denied_Professional_Opportunity,Q28g_Other_Prejudice,Q28g_Prejudice_Other_Specify,Q29a_Lazy,Q29b_Physically_Slow,Q29c_Stupid,Q29d_Loser,Q29e_Inactive,Q29f_Poorly_Dressed,Q29g_Funny,Q29h_Jolly,Q29i_Clumsy,Q29j_Alone,Q30a_Comic_Relief,Q30b_Sidekick,Q30c_Mamma_Hen,Q30d_Nympho,Q31_Fat_to_Fit,Q32_Inspo_Porn,Q31_NOTES,Notes on Dwelling
Emma,Airwaves 2020 Intense Mint launch campaign video,Airwaves       ,NORTH ASIA,2020,2020,Confectionary,DDB,Man,at party,2,0,,1,0,3,,888,999,1,0,4,0,,3,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,BOOMER BICEP,BOOMER,India,2020,2020,Confectionary,DDB,Boomer Man,"Shirtless, dark hair, chewing gum",2,0,,1,0,3,,2,999,1,0,3,0,,6,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,1,1,0,0,2,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CEspinoza,BOOMER RAMAYAN,BOOMER,India,2020,2020,Confectionary,DDB,Older man watching TV,Older man watching TV,2,0,,1,0,3,,2,999,1,0,7,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,9,2,9,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CEspinoza,BOOMER RAMAYAN,BOOMER,India,2020,2020,Confectionary,DDB,Boy watching TV,Boy watching TV,2,0,,1,0,3,,2,999,888,0,2,0,,3,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,0,0,9,2,10,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,BOOMER FISH BOWL,BOOMER,India,2020,2020,Confectionary,DDB,girl,sad,2,0,,2,0,3,,2,999,888,0,2,0,,3,0,0,0,0,0,0,0,0,0,1,watching their dead fish,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,0,0,0,0,10,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,BOOMER FISH BOWL,BOOMER,India,2020,2020,Confectionary,DDB,boy,blowing gum,2,0,,1,0,3,,2,999,888,0,1,0,,2,0,0,0,0,0,0,0,0,0,1,watching their dead fish,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,0,0,0,2,10,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Could be apartment or house; books stacked on floor vs. bookshelf
Pamela,Leaves,Cesar,United States,2020,2020,Petcare,BBDO,Raking Man,"Light brown hair, mustache, brown vest",2,0,,1,0,1,,999,999,1,0,5,0,,4,0,0,0,0,0,0,0,0,0,1,Raking yard,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,,"""Dwelling""=corrections facility (incarcerated man)"
CEspinoza,Birthday,Cesar,United States,2020,2020,Petcare,BBDO,Man's friend,Man's friend,2,0,,1,0,1,,999,999,2,0,5,0,,4,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"""Dwelling""=corrections facility (incarcerated man)"
Melanie,Match (:20),Cesar,United Kingdom,2020,2020,Petcare,BBDO,Partner,wider face,2,0,,1,0,1,,999,999,2,0,4,0,,4,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Romeo,Washboard,Cesar,United States,2020,2020,Petcare,BBDO,Woman Working,woman washing clothes and owner of Alfie,1,0,,2,0,1,,999,999,1,0,4,0,,3,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,3,1,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,"""Dwelling""=corrections facility (incarcerated man)"
Melanie,Match (:20),Cesar,United Kingdom,2020,2020,Petcare,BBDO,Waiter,dark beard,1,0,,1,0,1,,999,999,1,0,4,0,,3,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,"""Dwelling""=corrections facility (incarcerated man)"
Sarah,Cloudy City and Rural - Sunday V1,Cesar,United States,2020,2020,Petcare,BBDO,Yogi,blue short sleeve t shirt,2,0,,2,0,888,,999,999,1,0,3,0,,3,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,"""Dwelling""=corrections facility (incarcerated man)"
Romeo,Washboard,Cesar,United States,2020,2020,Petcare,BBDO,Jack,child ringing clothes to dry them,2,0,,1,0,1,,999,999,888,0,1,0,,3,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,0,0,0,2,10,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Catch,Cesar,United States,2020,2020,Petcare,BBDO,Son,Wearing helmet,2,0,,1,0,2,,999,999,888,0,1,0,,3,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,10,0,0,0,2,10,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,"""Dwelling""=corrections facility (incarcerated man)"
Pamela,Sunny City and Rural - Sunday V8,Cesar,United States,2020,2020,Petcare,BBDO,Man petting dog,"Dark hair, wearing dark shirt and shorts",2,0,,1,0,3,,2,999,1,0,3,0,,3,0,0,0,0,0,0,0,0,0,1,Petting dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Sunny City and Rural - Sunday V4,Cesar,United States,2020,2020,Petcare,BBDO,Man throwing frisbee,"Wearing gray shirt and shorts, bald",2,0,,1,0,1,,999,999,1,0,3,0,,3,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Sunny Beach - Sunday V1,Cesar,United States,2020,2020,Petcare,BBDO,Running Person,"Wearing hoodie and shorts, running on bech",2,0,,888,0,888,,999,999,1,0,3,0,,3,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Fire,Cesar,United States,2020,2020,Petcare,BBDO,Dog Owner,"Red shirt, blue jeans, gray hair",2,0,,1,0,2,,999,999,1,0,6,0,,3,0,0,0,0,0,0,0,0,0,1,Feeding dog,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Fire,Cesar,United States,2020,2020,Petcare,BBDO,Freezing Man,"Wearing brown coat, brown hat, black gloves",1,0,,1,0,1,,999,999,1,0,7,0,,3,0,0,0,0,0,0,1,0,0,1,Throwing stick in fire,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Didn't code Bowling as exercise, even though its a sport, its hard to count it as exercise.",
Emma,Boat,Cesar,United States,2020,2020,Petcare,BBDO,Left Son,,2,0,,1,0,1,,999,999,1,0,2,0,,3,0,0,0,0,0,0,0,0,0,1,riding in boat,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class/lower middle class living room; unable to tell dwelling type
Emma,Boat,Cesar,United States,2020,2020,Petcare,BBDO,Right Son,,2,0,,1,0,1,,999,999,1,0,2,0,,3,0,0,0,0,0,0,0,0,0,1,riding in boat,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class living room; unable to tell dwelling type
Emma,Boat,Cesar,United States,2020,2020,Petcare,BBDO,Mom,,2,0,,2,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,0,0,0,1,driving boat,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,3,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class single-family home
