Coder Name,Year,Category,Catalogue Number,Title,Advertiser,Product,Company,Country,Prize Description,Prize code,Video Name,Link to Asset,ID,Character ID,Asset Name,Character Name,Character Description,Character Prominence,Age,Age Specify,Character Sex,Character Gender,LGBTQ+,Animated Character,Animated Character - Specify,Race,Race Specify,Physical Disability,Cognitive Disability,Communication Disability,Activity,Tech,Setting,Vehicle,Shopping,Driving,Cleaning,Cooking,Working,Socializing,Nothing,EatingDrinking,Exercising,Other Activity,Activity Other Specify,Location,Kitchen,Office,Car,Store,Outdoors,Living Room,Restaurant/Bar,Gym,Bedroom,Bathroom,Sporting Event,Classroom/School,Other Setting,Other Setting Specify,Sexually Revealing Clothing,State of Nudity,State of Nudity Specify,Shown as Body Part,Verbally Sexual Objectification,Intelligence,Funny,Occupation Shown,Occupation,Leader,Authority,Body Type,Entry Type,Body Type Other,Disordered/Restrictive Eating,Self Injury,Negative Talk,Body Modification,Visual Shame,Verbal Shame,Sizeist slurs,Punchline,Denied Personal Opportunities,Denied Professional Opportunities,Other Prejudice,Other Prejudice Specify,Lazy,Slow,Stupid,Loser,Inactive,Poorly dressed,Character Funny,Jolly,Clumsy,Alone,Comic Relief,Sidekick,Mamma Hen,Nympho,Fat to Fit Stereotype,Inspiration porn,view_video,vatic_link,file_name,char_montage
,2008.0,A21,A21/057,METAL SHOP,PACIFIC BLUE CROSS,HEALTH INSURANCE,DDB CANADA VANCOUVER,CANADA,Bronze Lion Campaign,1.0,2008_Film_A21_057_METAL SHOP_186,,186.0,1.0,,,,,6.0,,,,,,,1.0,,,,,5.0,0.0,metal shop,10.0,,,,,,,,,,,,21; metal shop,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A21_057_METAL SHOP_186.mp4,
,2008.0,A21,A21/057,METAL SHOP,PACIFIC BLUE CROSS,HEALTH INSURANCE,DDB CANADA VANCOUVER,CANADA,Bronze Lion Campaign,1.0,2008_Film_A21_057_METAL SHOP_186,,186.0,0.0,,,,,6.0,,,,,,,1.0,,,,,5.0,2.0,metal shop,10.0,,,,,,,,,,,,21; metal shop,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A21_057_METAL SHOP_186.mp4,
,2008.0,A25,A25/011,NAIL,WORKERS' COMPENSATION BOARD OF NOVA SCOTIA,WORKPLACE SAFETY AWARENESS,EXTREME GROUP Halifax,CANADA,Bronze Lion,1.0,2008_Film_A25_011_NAIL_229,,229.0,1.0,,,,,4.0,,,,,,,9.0,,,,,5.0,0.0,warehouse,10.0,,,,,,,,,,,,11; warehouse,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A25_011_NAIL_229.mp4,
,2008.0,A25,A25/005,SMASH & GRAB,VANCOUVER POLICE DEPARTMENT,THEFT AWARENESS/PREVENTION,RETHINK Vancouver,CANADA,,0.0,2008_Film_A25_005_SMASH & GRAB_268,,268.0,0.0,,,,,9.0,,,,,,,9.0,,,,,robbery,0.0,5.0,10.0,,,,,,,,,,,,3; 5,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A25_005_SMASH & GRAB_268.mp4,
,2008.0,A15,A15/013,STACKS,APPLE,iPOD NANO,TBWA\MEDIA ARTS LAB Los Angeles,USA,,0.0,2008_Film_A15_013_STACKS_270,,270.0,0.0,,,,,4.0,,,,,,,1.0,,,,,dancing,0.0,warehouse,10.0,,,,,,,,,,,,11; warehouse,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A15_013_STACKS_270.mp4,
,2008.0,A01,A01/021,FALLING IN LAMB,MEAT AND LIVESTOCK AUSTRALIA,LAMB,BMF Sydney,AUSTRALIA,,0.0,2008_Film_A01_021_FALLING IN LAMB_375,,375.0,1.0,,,,,5.0,,,,,,,1.0,,,,,other,0.0,6.0,10.0,,,,,,,,,,,,1345.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.3,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A01_021_FALLING IN LAMB_375.mp4,
,2008.0,A01,A01/021,FALLING IN LAMB,MEAT AND LIVESTOCK AUSTRALIA,LAMB,BMF Sydney,AUSTRALIA,,0.0,2008_Film_A01_021_FALLING IN LAMB_375,,375.0,0.0,,,,,5.0,,,,,,,1.0,,,,,6.0,0.0,eating_drinking,10.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A01_021_FALLING IN LAMB_375.mp4,
,2008.0,A01,A01/021,FALLING IN LAMB,MEAT AND LIVESTOCK AUSTRALIA,LAMB,BMF Sydney,AUSTRALIA,,0.0,2008_Film_A01_021_FALLING IN LAMB_375,,375.0,3.0,,,,,5.0,,,,,,,1.0,,,,,6.0,0.0,socializing,10.0,,,,,,,,,,,,1456.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A01_021_FALLING IN LAMB_375.mp4,
,2008.0,A01,A01/021,FALLING IN LAMB,MEAT AND LIVESTOCK AUSTRALIA,LAMB,BMF Sydney,AUSTRALIA,,0.0,2008_Film_A01_021_FALLING IN LAMB_375,,375.0,2.0,,,,,5.0,,,,,,,1.0,,,,,6.0,0.0,3.0,2.0,,,,,,,,,,,,1456.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A01_021_FALLING IN LAMB_375.mp4,
,2008.0,A01,A01/021,FALLING IN LAMB,MEAT AND LIVESTOCK AUSTRALIA,LAMB,BMF Sydney,AUSTRALIA,,0.0,2008_Film_A01_021_FALLING IN LAMB_375,,375.0,4.0,,,,,5.0,,,,,,,1.0,,,,,6.0,0.0,6.0,10.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,1.2,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A01_021_FALLING IN LAMB_375.mp4,
